row|col|sample|dist|memory(bytes)|avgdist|matrixbuildtime(msecs)|sampletime(msecs)
4096|512|1000|0.7|29578354688|1121.970947|90.000000|0.000000
4096|512|1000|0.9|29578158080|1290.468018|70.000000|10.000000
4096|512|1000|0.1|29578760192|197.203995|80.000000|10.000000
4096|512|10000|0.001|29578936320|1.543800|80.000000|60.000000
4096|512|10000|0.01|29578821632|19.823099|70.000000|50.000000
4096|512|10000|0.1|29578768384|196.739594|90.000000|50.000000
4096|512|10000|0.3|29579116544|551.367676|80.000000|40.000000
4096|512|10000|0.5|29579022336|851.235901|70.000000|50.000000
4096|512|10000|0.7|29578616832|1094.539673|70.000000|50.000000
4096|512|10000|0.9|29578502144|1285.026855|90.000000|30.000000
4096|512|10000|0.1|29578686464|197.887604|80.000000|50.000000
4096|512|100000|0.001|29579120640|1.558140|80.000000|420.000000
4096|512|100000|0.01|29579812864|19.896021|80.000000|460.000000
4096|512|100000|0.1|29579296768|197.521927|80.000000|460.000000
4096|512|100000|0.3|29579198464|550.749146|100.000000|440.000000
4096|512|100000|0.5|29579747328|850.211853|80.000000|460.000000
4096|512|100000|0.7|29579685888|1098.129639|60.000000|460.000000
4096|512|100000|0.9|29579702272|1289.257690|80.000000|450.000000
4096|512|100000|0.1|29579358208|197.100006|70.000000|450.000000
4096|512|1000000|0.001|29579575296|1.557870|80.000000|4220.000000
4096|512|1000000|0.01|29579943936|19.908609|80.000000|4550.000000
4096|512|1000000|0.1|29579792384|197.294556|70.000000|4520.000000
4096|512|1000000|0.3|29579509760|552.256470|60.000000|4500.000000
4096|512|1000000|0.5|29579284480|853.116272|60.000000|4490.000000
4096|512|1000000|0.7|29580070912|1099.080200|80.000000|4470.000000
4096|512|1000000|0.9|29579943936|1289.339355|80.000000|4490.000000
4096|512|1000000|0.1|29579792384|197.292221|70.000000|4610.000000
4096|4096|1000|0.001|29579427840|1.507000|560.000000|20.000000
4096|4096|1000|0.01|29578784768|20.660999|620.000000|30.000000
4096|4096|1000|0.1|29579333632|202.725006|660.000000|20.000000
4096|4096|1000|0.3|29579841536|552.026978|710.000000|20.000000
4096|4096|1000|0.5|29579145216|841.549988|600.000000|30.000000
4096|4096|1000|0.7|29579513856|1089.292969|700.000000|20.000000
4096|4096|1000|0.9|29578854400|1308.876953|620.000000|20.000000
4096|4096|1000|0.1|29578747904|199.947006|750.000000|30.000000
4096|4096|10000|0.001|29578440704|1.541200|620.000000|230.000000
4096|4096|10000|0.01|29578473472|19.983999|560.000000|230.000000
4096|4096|10000|0.1|29578768384|198.431595|700.000000|220.000000
4096|4096|10000|0.3|29579280384|549.323792|610.000000|230.000000
4096|4096|10000|0.5|29579005952|852.721924|630.000000|230.000000
4096|4096|10000|0.7|29578727424|1098.492310|620.000000|220.000000
4096|4096|10000|0.9|29578575872|1280.836792|570.000000|220.000000
4096|4096|10000|0.1|29578764288|198.131104|620.000000|230.000000
